id_sitio,comuna,latitud,longitud,direccion,estado,cargadores_iniciales,cargadores_nuevos,cargadores_totales,capacidad_max_cargadores,paneles_iniciales,paneles_nuevos,paneles_totales,capacidad_max_paneles,utilizacion_cargadores_%,utilizacion_paneles_%
0,nunoa,-33.45610162469032,-70.59817860810593,Sin dirección,Existente,2,1,3,25,0,0,0,30,12.0,0.0
0,penaflor,-33.6075697,-70.8992515,Sin dirección,Existente,2,0,2,10,0,0,0,18,20.0,0.0
0,penalolen,-33.499266,-70.5541188,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
1,penalolen,-33.486523219822054,-70.55886697090516,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
2,penalolen,-33.49254899439829,-70.51819088386685,Sin dirección,Existente,2,1,3,25,0,0,0,30,12.0,0.0
0,providencia,-33.42305004055072,-70.61699251535579,Sin dirección,Existente,2,0,2,8,0,0,0,14,25.0,0.0
1,providencia,-33.42124844755189,-70.60991718503368,Sin dirección,Existente,2,1,3,20,0,50,50,50,15.0,100.0
2,providencia,-33.441844399999994,-70.6258723,Sin dirección,Existente,1,2,3,10,0,0,0,18,30.0,0.0
3,providencia,-33.438873649938884,-70.6143605000766,Sin dirección,Existente,1,1,2,25,0,30,30,30,8.0,100.0
4,providencia,-33.42508787211658,-70.6136556075771,Sin dirección,Existente,3,0,3,10,0,0,0,15,30.0,0.0
5,providencia,-33.42353029999999,-70.6122576,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
6,providencia,-33.421712164451584,-70.60903137219228,Sin dirección,Existente,3,0,3,10,0,0,0,15,30.0,0.0
7,providencia,-33.4217972,-70.6096758,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
8,providencia,-33.42230379308774,-70.61010300094664,Sin dirección,Existente,3,0,3,10,0,0,0,15,30.0,0.0
9,providencia,-33.424137900024995,-70.6077273500058,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
10,providencia,-33.421612100000004,-70.6217865,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
11,providencia,-33.4251603,-70.6106177,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
12,providencia,-33.43229364290416,-70.61917281073949,Sin dirección,Existente,2,1,3,10,0,0,0,35,30.0,0.0
13,providencia,-33.41510929999999,-70.6173708,Sin dirección,Existente,2,1,3,30,0,0,0,40,10.0,0.0
14,providencia,-33.44658875287428,-70.62923256813731,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
0,pudahuel,-33.455412,-70.7623322,Sin dirección,Existente,2,1,3,10,0,0,0,18,30.0,0.0
1,pudahuel,-33.42746480000001,-70.7807265,Sin dirección,Existente,23,0,23,25,0,0,0,30,92.0,0.0
2,pudahuel,-33.433873940725185,-70.81043270506771,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
3,pudahuel,-33.398714600000005,-70.7948344,Sin dirección,Existente,6,0,6,30,0,0,0,40,20.0,0.0
4,pudahuel,-33.44586593694818,-70.7444146181971,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
5,pudahuel,-33.45544511128414,-70.78318176874049,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
6,pudahuel,-33.437316569109925,-70.84007890652111,Sin dirección,Existente,2,1,3,10,0,0,0,35,30.0,0.0
7,pudahuel,-33.440045100000006,-70.8412898,Sin dirección,Existente,3,1,4,30,0,0,0,40,13.3,0.0
8,pudahuel,-33.44479099999999,-70.7441277,Sin dirección,Existente,1,1,2,25,0,30,30,30,8.0,100.0
0,puente_alto,-33.600052500000004,-70.57581970000001,Sin dirección,Existente,2,8,10,30,0,0,0,40,33.3,0.0
1,puente_alto,-33.60622464882226,-70.57607449377373,Sin dirección,Existente,3,5,8,10,0,0,0,20,80.0,0.0
2,puente_alto,-33.56959371720891,-70.55550252579258,Sin dirección,Existente,2,4,6,25,0,0,0,30,24.0,0.0
3,puente_alto,-33.55797090218775,-70.55909766726309,Sin dirección,Existente,2,6,8,10,0,0,0,20,80.0,0.0
0,quilicura,-33.35638697759992,-70.70711034234549,Sin dirección,Existente,2,1,3,25,0,0,0,30,12.0,0.0
1,quilicura,-33.36853298489928,-70.72385482192314,Sin dirección,Existente,2,1,3,25,0,0,0,30,12.0,0.0
2,quilicura,-33.329597950743526,-70.71154289944694,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
0,quinta_normal,-33.422799700852906,-70.69175661808141,Sin dirección,Existente,2,0,2,6,0,0,0,12,33.3,0.0
1,quinta_normal,-33.42804614168959,-70.7042993211834,Sin dirección,Existente,2,0,2,10,0,0,0,18,20.0,0.0
0,recoleta,-33.41410308639286,-70.62243749680802,Sin dirección,Existente,4,0,4,25,0,0,0,30,16.0,0.0
1,recoleta,-33.413666753795674,-70.64111021506749,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
0,san_bernardo,-33.68197730000001,-70.726579,Sin dirección,Existente,3,2,5,30,0,0,0,40,16.7,0.0
1,san_bernardo,-33.6318147,-70.7106974,Sin dirección,Existente,2,3,5,10,0,0,0,18,50.0,0.0
2,san_bernardo,-33.68604680000001,-70.7260726,Sin dirección,Existente,3,2,5,30,0,0,0,40,16.7,0.0
3,san_bernardo,-33.5805583,-70.7140356,Sin dirección,Existente,6,0,6,30,0,0,0,40,20.0,0.0
0,san_joaquin,-33.5000716,-70.616603,Sin dirección,Existente,2,0,2,30,0,0,0,40,6.7,0.0
0,san_jose_de_maipo,-33.641141299999994,-70.3526572,Sin dirección,Existente,2,0,2,10,0,0,0,18,20.0,0.0
0,san_miguel,-33.512128,-70.6569316,Sin dirección,Existente,2,0,2,30,0,0,0,40,6.7,0.0
0,santiago,-33.43640526844666,-70.65054106906601,Sin dirección,Existente,8,0,8,10,0,0,0,15,80.0,0.0
1,santiago,-33.44044639999999,-70.6473732,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
2,santiago,-33.4444122,-70.6481321,Sin dirección,Existente,2,1,3,10,0,0,0,35,30.0,0.0
3,santiago,-33.452248733493896,-70.6311597612701,Sin dirección,Existente,3,0,3,10,0,0,0,15,30.0,0.0
4,santiago,-33.43382509999999,-70.6481489,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
5,santiago,-33.438908695158375,-70.6631277305474,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
6,santiago,-33.43785940000001,-70.6471922,Sin dirección,Existente,1,3,4,30,0,40,40,40,13.3,100.0
7,santiago,-33.4423388,-70.6551213,Sin dirección,Existente,2,2,4,30,0,0,0,40,13.3,0.0
8,santiago,-33.45376176353924,-70.65209604286697,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
9,santiago,-33.4473615,-70.6532587,Sin dirección,Existente,6,0,6,10,0,0,0,18,60.0,0.0
10,santiago,-33.44425195636809,-70.6447894775325,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
11,santiago,-33.444706061814,-70.64514120798856,Sin dirección,Existente,3,0,3,8,0,0,0,14,37.5,0.0
12,santiago,-33.43884498444989,-70.6415909843366,Sin dirección,Existente,3,1,4,20,0,0,0,50,20.0,0.0
0,vitacura,-33.40174026912872,-70.59276521272697,Sin dirección,Existente,2,0,2,8,0,0,0,14,25.0,0.0
1,vitacura,-33.39247199177387,-70.57277556958023,Sin dirección,Existente,1,1,2,6,0,25,25,25,33.3,100.0
2,vitacura,-33.39896040872285,-70.58715423909247,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
3,vitacura,-33.38650139070699,-70.56537243268767,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
4,vitacura,-33.383729995058026,-70.54951133772366,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
5,vitacura,-33.40041088582734,-70.60054583697982,Sin dirección,Existente,8,0,8,25,0,0,0,30,32.0,0.0
6,vitacura,-33.38687810279469,-70.5680148184978,Sin dirección,Existente,2,1,3,10,0,0,0,18,30.0,0.0
7,vitacura,-33.37515890000001,-70.5318506,Sin dirección,Existente,4,0,4,10,0,0,0,20,40.0,0.0
8,vitacura,-33.38171659999999,-70.5932667,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
9,vitacura,-33.37991070000001,-70.5695792,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
10,vitacura,-33.38016318796552,-70.58579433446927,Sin dirección,Existente,2,0,2,8,0,0,0,14,25.0,0.0
11,vitacura,-33.37968646066604,-70.58437185359244,Sin dirección,Existente,2,0,2,8,0,0,0,14,25.0,0.0
12,vitacura,-33.40546407518191,-70.59827473358001,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
