name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Aramco,fuel,,,,Ñuñoa,-70.57448909423702,-33.46261100410061,fuel,10
,parking,,,,Ñuñoa,-70.57305980003323,-33.44112924995171,parking,25
,parking,,,,Ñuñoa,-70.62822380137405,-33.45281792162935,parking,25
,,,retail,,Ñuñoa,-70.5769445921047,-33.445746186113084,retail,6
,,,retail,,Ñuñoa,-70.5769488368063,-33.44570367578154,retail,6
,,,retail,,Ñuñoa,-70.57695274999895,-33.445658100012025,retail,6
,parking,,,,Ñuñoa,-70.57285474955226,-33.44270650175622,parking,25
Estacionamiento Parque Estadio Nacional,parking,,,,Ñuñoa,-70.61413466797039,-33.463385804946235,parking,25
,parking,,,,Ñuñoa,-70.62621634633072,-33.45542182625175,parking,25
,parking,,,,Ñuñoa,-70.62384163933791,-33.44832138657633,parking,25
,,,commercial,,Ñuñoa,-70.58206120023276,-33.448196708028895,commercial,10
,,,commercial,,Ñuñoa,-70.58211715091772,-33.448197831933214,commercial,10
,parking,,,,Ñuñoa,-70.58194222375954,-33.44764537052067,parking,25
,fuel,,,,Ñuñoa,-70.60147003809323,-33.471218089069346,fuel,10
Lider Express,,supermarket,yes,,Ñuñoa,-70.57484222580335,-33.45373040546585,supermarket,10
,parking,,,,Ñuñoa,-70.59925425004457,-33.4452420999117,parking,25
,parking,,,,Ñuñoa,-70.5993810000073,-33.44511564998484,parking,25
,,mall,retail,,Ñuñoa,-70.58823230042282,-33.45036351200464,mall,20
,parking,,,,Ñuñoa,-70.60197532785065,-33.47226050188769,parking,25
,,,retail,,Ñuñoa,-70.62930001482107,-33.45647327507904,retail,6
,,,commercial,,Ñuñoa,-70.62885534668591,-33.45415804061486,commercial,10
,,,commercial,,Ñuñoa,-70.62896246938152,-33.45399120593877,commercial,10
,,,commercial,,Ñuñoa,-70.62898007002293,-33.45392911768367,commercial,10
,,,commercial,,Ñuñoa,-70.62906415125804,-33.453880055765744,commercial,10
,,,retail,,Ñuñoa,-70.5766631292126,-33.44621025007777,retail,6
,parking,,,,Ñuñoa,-70.5935755770556,-33.45821769922199,parking,25
,,,commercial,,Ñuñoa,-70.59368677691434,-33.45168632769384,commercial,10
,,,commercial,,Ñuñoa,-70.59542732648302,-33.44912739721748,commercial,10
,,,commercial,,Ñuñoa,-70.59377680000007,-33.45105405000179,commercial,10
Diagonal Autos,,car,commercial,,Ñuñoa,-70.59115273109097,-33.4488546560008,car,13
,,,commercial,,Ñuñoa,-70.59118082044797,-33.44912888086363,commercial,10
,parking,,,,Ñuñoa,-70.58834331367378,-33.45024992696893,parking,25
,parking,,,,Ñuñoa,-70.58940113227638,-33.4510943580142,parking,25
Más Center,,shopping_centre,retail,,Ñuñoa,-70.62128800736544,-33.449593153660864,shopping_centre,13
,parking,,,,Ñuñoa,-70.62140589762873,-33.449608996120205,parking,25
Copec,fuel,,,,Ñuñoa,-70.62309895946248,-33.467157178837745,fuel,10
,parking,,,,Ñuñoa,-70.58672970697013,-33.44623734941435,parking,25
,parking,,,,Ñuñoa,-70.61329658233018,-33.44799249249913,parking,25
Centro Deportivo Sur,parking,,,,Ñuñoa,-70.60934405822275,-33.46970970900417,parking,25
,parking,,,,Ñuñoa,-70.6093611571008,-33.469895333051305,parking,25
,parking,,,,Ñuñoa,-70.60932494668066,-33.47010198305745,parking,25
,parking,,,,Ñuñoa,-70.60592469434334,-33.45790382667537,parking,25
,parking,,,,Ñuñoa,-70.62138733800003,-33.45012317304237,parking,25
,,,retail,,Ñuñoa,-70.62044845918096,-33.45312710378119,retail,6
,,,retail,,Ñuñoa,-70.62038515000212,-33.45318194999875,retail,6
,,,retail,,Ñuñoa,-70.62032208701173,-33.45314293783139,retail,6
,,,retail,,Ñuñoa,-70.6204879676195,-33.45308410040557,retail,6
,,,retail,,Ñuñoa,-70.6203384208738,-33.4530513038922,retail,6
,car_wash,,roof,,Ñuñoa,-70.61917589999275,-33.45278320002702,car_wash,2
Parking Accesible CEP,parking,,,,Ñuñoa,-70.61329466964524,-33.464847885663154,parking,25
,,,retail,,Ñuñoa,-70.57691475805852,-33.43682960994261,retail,6
,parking,,,,Ñuñoa,-70.62276184633559,-33.46186212078599,parking,25
,parking,,,,Ñuñoa,-70.61362912216683,-33.46850245123705,parking,25
Estacionamiento CEDC,parking,,,,Ñuñoa,-70.6134547693533,-33.4695783937536,parking,25
