electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
,,,,,,,,0,,parking,,,,Pudahuel,-70.7765848,-33.4296569,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.77547180000002,-33.42791569999999,parking,25,30,0,,135
,,,,,,,,0,Autopark,parking,,,,Pudahuel,-70.7780504,-33.428658,parking,25,30,0,,135
,,,,,,,,0,Minimarket Valle De Noviciado,,supermarket,,,Pudahuel,-70.86371,-33.3928042,supermarket,10,18,0,,156
,,,,,,,,0,,parking,,,,Pudahuel,-70.7913678,-33.4056471,parking,25,30,0,,135
,,,,,,,,0,Enel X,charging_station,,,,Pudahuel,-70.7769004,-33.4438285,charging_station,30,40,0,,208
,,,,,,,,0,Enel X,charging_station,,,,Pudahuel,-70.7836864,-33.4297228,charging_station,30,40,0,,208
,,,,,,,,0,,parking,,,,Pudahuel,-70.8501926,-33.4515441,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7770726,-33.42386040000001,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7776367,-33.4226785,parking,25,30,0,,135
,,,,,,,,0,Copec,fuel,,,,Pudahuel,-70.7411854,-33.4301822,fuel,10,20,0,,146
,,,,,,,,0,Estacionamientos IF-MOP,parking,,,,Pudahuel,-70.7912429,-33.3968934,parking,25,30,0,,135
,,,,,,,,0,Copec,fuel,,,,Pudahuel,-70.7479191,-33.4448529,fuel,10,20,0,,146
,,,,,,,,0,,parking,,,,Pudahuel,-70.8414631,-33.4406758,parking,25,30,0,,135
,,,,,,,,0,Estacionamiento de Camiones de Carga Internacional,parking,,,,Pudahuel,-70.7912487827527,-33.40823492955941,parking,25,30,0,,135
,,,,,,,,0,Estacionamiento de Camiones de Carga Internacional (ECI),parking,,,,Pudahuel,-70.7912487827527,-33.40823492955941,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.87982903330537,-33.45078507563309,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.87780290529464,-33.45014470298872,parking,25,30,0,,135
,,,,,,,,0,Estadio Modelo de Pudahuel,,,,stadium,Pudahuel,-70.74124762343232,-33.448527689364624,stadium,20,60,0,,114
,,,,,,,,0,Paseo Barrancas,,mall,yes,,Pudahuel,-70.73929893520253,-33.45535273566635,mall,20,50,0,,187
